id,sentiment,acara_tv,jumlah_retweet,text_tweet,clean_text
175,negative,IndonesiaLawyersClubTvOne,0,@ReflyHZ Ajarin dewan ttg hak angket !!! #ILC,ajarin dewan ttg hak angket
176,negative,IndonesiaLawyersClubTvOne,0,"Saya rakyat, tp saya jg kadang ga seneng lihat cara nya yg superbodi, kok kyknya tebang pilih jg.. #ILC",rakyat kadang senang lihat nya superbodi tebang pilih
177,negative,IndonesiaLawyersClubTvOne,2,#ILC merajut jakarta kembali setelah tercabik cabik karena kepemimpinan masa lalu,rajut jakarta cabik cabik pimpin
178,negative,IndonesiaLawyersClubTvOne,5,"@karniilyas maksudnya, cinta akan uang adalah akar kejahatan #ILCTVOne",maksud cinta uang akar jahat
179,negative,IndonesiaLawyersClubTvOne,0,Makin hari makin geram ngeliat tingkah laku dan akhlaq oknum yang mengatasnama kan ISLAM #ILCTVONE,geram tingkah laku akhlaq oknum mengatasnama islam
180,negative,IndonesiaLawyersClubTvOne,2,"Pembohongan publik itu, ketika rambut udah putih beruban tapi di cat hitam #ilctvone",bohong publik rambut putih uban cat hitam
181,negative,IndonesiaLawyersClubTvOne,0,"#MataNajwa meskipun beda kelas sm #ILCTVOne knp masih bebas tanpa pembatalan, Tanya kenapa?????",beda kelas bebas batal
182,negative,IndonesiaLawyersClubTvOne,0,"Nonton ILC tokoh betawi bilang, org betawi itu gampang intinya, ""bacot lu jaga.."" jadi itulah intinya.. #ilctvone",nonton ilc tokoh betawi bilang orang betawi gampang inti bacot jaga inti
183,negative,IndonesiaLawyersClubTvOne,0,"Merajut kembali Jakarta? Gampang kok. ""Bacot lu jaga"" #ILCTVOne",rajut jakarta gampang bacot jaga
184,negative,IndonesiaLawyersClubTvOne,0,buya safii maarif yg lebih tua kalah bijak dari nasihat bung eep yg jauh lebih muda #ILCtvOne,buya safi maarif tua kalah bijak nasihat eep muda
185,negative,IndonesiaLawyersClubTvOne,0,Merampas hak dasar sebagai manusia harus batal demi hukum #ILCTvOne,rampas hak dasar manusia batal hukum
186,negative,IndonesiaLawyersClubTvOne,0,Pihak polisi kasihan jadi terlihat sangat bodoh berhadapan dengan argumentasi hukum dan pakar IT #IlcTvOne,polisi kasihan bodoh hadap argumentasi hukum pakar it
187,negative,IndonesiaLawyersClubTvOne,0,"itu bapak Abi Manyu kasian.... beliau tidak paham WhatsApp, miris #ilctvone",abi manyu kasihan beliau paham whatsapp miris
188,negative,IndonesiaLawyersClubTvOne,0,Bintang #ILCtvOne pun muncul #AaGym Tidak ada partai atau tokoh manapun yang sanggup menggerakkan orang http://fb.me/2WDYOkqZU,bintang muncul partai tokoh mana sanggup gerak orang
189,negative,IndonesiaLawyersClubTvOne,0,"Menghimbau jangan terprovokasi, tp memantik kebencian.. Tidak meneduhkan tp membuat mendung.. #ILCTvOne",menghimbau provokasi mantik benci teduh mendung
190,negative,IndonesiaLawyersClubTvOne,0,Tindakan anarkis pada saat aksi bukan oleh pendemo #ILCTvOne #SaveHmI,tindak anarkis aksi demo
191,negative,IndonesiaLawyersClubTvOne,0,"Sepenting apapun itu, ingat kita akan mati, seram #ILCtvone",penting apa mati seram
192,negative,IndonesiaLawyersClubTvOne,0,"siapa lagi? ketua preman pasar ikutan ngomong, memalukan #ILCtvone",ketua preman pasar ikut ngomong malu
193,negative,IndonesiaLawyersClubTvOne,0,"jgn krn cuma jaga moral dr konten porno, negara ini darurat radikalisme, mau tunggu perang kyk di suriah baru kpi sadar? #ILCTVONE",jaga moral konten porno negara darurat radikalisme tunggu perang suriah kpi sadar
194,negative,IndonesiaLawyersClubTvOne,0,kami butuh fakta bukti bukan hanya ngomong kebohongan #ILCTVOne,butuh fakta bukti ngomong bohong
195,negative,IndonesiaLawyersClubTvOne,2,Kasian ya yg bapak2 berpeci pake batik merah tadi air mata nya dikeluarin cuma krn ahoax #miris #ILCtvone,kasihan ya peci pakai batik merah air mata nya dikeluarin ahoax
196,negative,IndonesiaLawyersClubTvOne,0,"Syaiton itu musuhmu, jgn dijadikan sbg teman Manusia bs kesetanan, tp setan tdk bs kemanusiaan... #insyaflahwahaimanusia #ILCtvone",syaiton musuh jadi teman manusia setan setan manusia
197,negative,IndonesiaLawyersClubTvOne,0,"#ILCtvone mendengar cerita bu marwah aku merasa bodoh, memalukan",dengar cerita bu marwah bodoh malu
198,negative,IndonesiaLawyersClubTvOne,0,#ILCTVONE ini bang gaya nya benar2 pemikiran liberal miris sekali,bang gaya nya pikir liberal miris
199,negative,IndonesiaLawyersClubTvOne,0,Sesat pikir para pengamat #taxamnesti #ILCtvone,sesat pikir amat
200,negative,IndonesiaLawyersClubTvOne,0,berbicara kelamaan ribet #ILC,bicara ribet
201,positive,KickAndyMetroTV,4,"ih lucu, mas kick andy nya senyum2 aja",ih lucu mas kick andy nya senyum
202,positive,KickAndyMetroTV,2,nonton pak hasan Merkids di kick andy sangat menginspirasi salut pak hasan,nonton hasan merkids kick andy inspirasi salut hasan
203,positive,KickAndyMetroTV,11,cara Ubah Mimpimu Jadi Tindakan Kick Andy,ubah mimpi tindak kick andy
204,positive,KickAndyMetroTV,3,Kickandy gokil #kickandy,kickandy gokil
205,positive,KickAndyMetroTV,13,"Terima kasih sudah menonton acara #kickandy eps ubah mimpimu jadi tindakan, semoga bermanfaat",terima kasih tonton acara eps ubah mimpi tindak moga manfaat
206,positive,KickAndyMetroTV,15,Temukan lentera jiwamu #kickandy #mahasiswaum,temu lentera jiwa
207,positive,KickAndyMetroTV,9,Agung.. Saya akan undang lagi.. Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy,agung undang cerita jalan hidup
208,positive,KickAndyMetroTV,4,PARA MUSISI YG MENGGELORAKAN SEMANGAT NASIONALISME DAN KEBHINEKAAN UNJUK GIGI #KICKANDY NKRI HARGA MATI...,musisi gelora semangat nasionalisme kebhinekaan unjuk gigi nkri harga mati
209,positive,KickAndyMetroTV,7,Anak2 mulai berimajinasi. #kickandy,anak imajinasi
210,positive,KickAndyMetroTV,2,CARA GILA MENDAKI GUNUNG #KickAndy Luar Biasa Mantap Jiwa,gila daki gunung mantap jiwa
211,positive,KickAndyMetroTV,0,sayangilah alam niscaya alam akan menyayangimu #kickAndy,sayang alam niscaya alam sayang
212,positive,KickAndyMetroTV,12,mantan narapidana pun dirangkulnya untuk dicarikan pekerjaan untuk menjalani hidup yg lbh baik lagi,mantan narapidana rangkul cari kerja jalan hidup
213,positive,KickAndyMetroTV,5,Agung @eevnxx mampu membuktikan sebuah karya yg mengagumkan bisa dihasilkan dgn belajar scr otodidak,agung bukti karya kagum hasil ajar otodidak
214,positive,KickAndyMetroTV,7,Salah satu kejadian yang membuat penonton tertawa saat agung hapsah muncul #KickAndy,salah jadi tonton tertawa agung hapsah muncul
215,positive,KickAndyMetroTV,5,Agung akan diundang  Untuk bercerita banyak tentang perjalanan kehidupanmu.. #KickAndy,agung undang cerita jalan hidup
216,positive,KickAndyMetroTV,0,Jatuh lalu bangkit Untuk membantu sesama #Kickandy,jatuh bangkit bantu
217,positive,KickAndyMetroTV,4,Rasa bangga itu ada setelah saya bs menyumbang karya kecil buat NKRI Ronny #KickAndy patut acungi jempol,bangga sumbang karya nkri ronny patut acung jempol
218,positive,KickAndyMetroTV,3,"Sahabat Gimbal Alas, nanti malam jangan lupa ya nonton #KickAndy Cara Gila Mendaki Gunung ala Cak Tarpin",sahabat gimbal alas malam lupa ya nonton gila daki gunung ala cak tarpin
219,positive,KickAndyMetroTV,6,"Hanya orang takut yang bisa berani, karena keberanian http://ekhs7903.m.nomor1.com/ekhs7903/menulis-adalah-kesenangan-saya.htm … #kickandy",orang takut berani berani
220,positive,KickAndyMetroTV,5,#kickandy Anda hanya dekat dengan mereka yang Anda sukai. Dan Anda menghindari orang yag tidak Anda sukai,suka hindar orang yag suka
221,positive,KickAndyMetroTV,14,Anak 16Th yang berfikir dewasa mampu mampu membiyayai sekolahnya sendiri dengan cara membajak sawah #kickandy @Metro_TV @MetroTVToday,anak th berfikir dewasa membiyayai sekolah bajak sawah
222,positive,KickAndyMetroTV,5,"kangen lagi nonton #kickandy sama ayah, ayah langsung bilang, seharusnya kamu bersyukur",kangen nonton ayah ayah langsung bilang syukur
223,positive,KickAndyMetroTV,0,#kickandy @KickAndyShow siang ini jg jadi ajang reuni sahabat kosti DKI dan kosti Jateng,siang ajang reuni sahabat kosti dki kosti jawa tengah
224,positive,KickAndyMetroTV,0,Bapak ku lucu ya #kickandy,ku lucu ya
225,positive,KickAndyMetroTV,5,"besok pagi harus UTS, jd pulang duluan cuma poto bareng gambarnya #kickandy @KickAndyShow",besok pagi uts pulang duluan foto bareng gambar
226,positive,KickAndyMetroTV,3,Bahagianya Masuk Tv bersama Kawan #kickandy @ Kick Andy… https://www.instagram.com/p/BTGua2KhkXQ/,bahagia masuk televisi kawan kick andy
227,positive,KickAndyMetroTV,0,Keren dan kocak nih tamu #kickAndy mereka-mereka yg memang lomba design yg berasal dari Malang,keren kocak nih tamu merekamereka lomba design asal malang
228,positive,KickAndyMetroTV,11,"lucu ni bapak, bikin ketawa terus, persis kayak di tv #kickandy http://ift.tt/2o1rW9W",lucu ni bikin tertawa persis televisi
229,positive,KickAndyMetroTV,16,Terima Kasih #kickandy sudah menginspirasi saya membuka mata banyak orang karena kesetiaan yang teruji itulah Cinta yang sesungguhnya,terima kasih inspirasi buka mata orang setia uji cinta sungguh
230,positive,KickAndyMetroTV,8,Cinta itu agung. Tuhan itu luar biasa. #KickAndy,cinta agung tuhan
231,positive,KickAndyMetroTV,9,riasan terbaik seorang wanita adalah semangat dan rasa percaya dirinya.. #kickandy,rias baik wanita semangat percaya
232,positive,KickAndyMetroTV,5,Nonton #kickandy. Menginspirasi sekali,nonton inspirasi
233,positive,KickAndyMetroTV,8,"#kickandy kita mendukung Ahok, karena orang baik @KickAndyShow @Metro_TV",dukung ahok orang
234,positive,KickAndyMetroTV,6,Mantap pak ahok #kickandy,mantap ahok
235,positive,KickAndyMetroTV,2,Manusia bersih pasti berani #KickAndy #TamuAhok,manusia bersih berani
236,positive,KickAndyMetroTV,4,Suka dengan nasehat Pak Analta Amir yg meminta Ahok menyaring ucapan #kickand,suka nasehat analta amir ahok nyaring ucap
237,positive,KickAndyMetroTV,9,"Nonton #kickandy Menarik, membuka pikiran, menginspirasi. Sukses selalu",nonton tarik buka pikir inspirasi sukses
238,positive,KickAndyMetroTV,4,inilah jagoan saya!! hahahaha #kickandy,jago hahahaha
239,positive,KickAndyMetroTV,12,Salut lah sama orang2 kek gitu #kickandy,salut orang
240,positive,KickAndyMetroTV,6,@KickAndyShow semoga tambah ok dan panjang umur. semoga acara nanti malam lancar #kickandy,moga ok umur moga acara malam lancar
241,positive,KickAndyMetroTV,14,Ajang orang-orang saling menginspirasi. #kickandy #kickandyheroes2017,ajang orangorang inspirasi
242,positive,KickAndyMetroTV,11,"Suara Penta Boys ini memang keren banget, pantas jadi juara 1 di Rumania #KickAndy",suara penta boys keren banget juara rumania
243,positive,KickAndyMetroTV,4,penta Boys ini masih eksis saja dan saya suka suara mereka. Keren #KickAndyp,penta boys eks suka suara keren
244,positive,KickAndyMetroTV,8,"Rupanya, terselip beberapa detik di Kick Andy. Keren dan luar biasa",selip detik kick andy keren
245,positive,KickAndyMetroTV,4,Terimakasih #kickAndy,terimakasih
246,positive,KickAndyMetroTV,17,Tayangan yang sangat inspiratif yang banyak memberi motivasi kepada kita untuk lebih bisa mencintai orang-orang disabilitas #kickandy,tayang inspiratif motivasi cinta orangorang disabilitas
247,positive,KickAndyMetroTV,17,"perjuagan mereka istimewa, krn mampu menembus keterbatasan sbg rasa syukur pada Allah, sangat menginspirasi. #KickAndy",perjuagan istimewa tembus batas syukur allah inspirasi
248,positive,KickAndyMetroTV,2,Syukurilah atas kehidupanmu saat ini #kickandy,syukur hidup
249,positive,KickAndyMetroTV,6,"Acara yang sangat menginspirasi sekali, salut #kickandy",acara inspirasi salut
250,positive,KickAndyMetroTV,4,"suka dengan semua tamu yang diundang, pasti menginspirasi #kickandy",suka tamu undang inspirasi
251,negative,KickAndyMetroTV,5,kalo udah di puncak jangan lupa sampahnya di bawa turun lagi karena alam bukan tempat nyampah stop nyampah di gunung #kickandy,puncak lupa sampah bawa turun alam nyampah stop nyampah gunung
252,negative,KickAndyMetroTV,0,RT @KickAndyShow: 61 WNA terancam dideportasi dan lia @gracialia terancam dipidanakan,rt wna ancam deportasi lia ancam pidana
253,negative,KickAndyMetroTV,0,Lebih baik menyalakan lilin daripada mengumpat kepada kegelapan #pejuangtangguh #kickandy,nyala lilin umpat gelap
254,negative,KickAndyMetroTV,0,"aku ga mau bohongi diri sendiri. Gimbal Alas, Malang. #kickandy",bohong gimbal alas malang
255,negative,KickAndyMetroTV,0,sampan tidak akan dapat belayar di padang pasir betapa pun jua emp http://ilha8253.m.nomor1.net/ilha8253/1001-burung-kertas.htm … #kickandy,sampan bayar padang pasir betapa emp
256,negative,KickAndyMetroTV,0,"Bila kita mencari uang, kita akan dipaksa mengupayakan jangan malas http://ln.is/m.nomor1.com/KfMAp … #kickandy",cari uang paksa upaya malas
257,negative,KickAndyMetroTV,3,"Dalam hidup, terkadang kita lebih banyak mendapatkan apa yang tidak kita inginkan #NOMOR1.net #kickandy",hidup terkadang
258,negative,KickAndyMetroTV,0,"Cobaan suami saat istri sakit, cobaan istri saat suami gak punya duit, miris #kickandy",coba suami istri sakit coba istri suami duit miris
259,negative,KickAndyMetroTV,0,"Terharu mendengar puisi ""Perempuan yang tak berhenti terjaga"" dari anak-anak Ibu Shinta Nuriyah, miris #kickandy",haru dengar puisi perempuan henti jaga anakanak shinta nuriyah miris
260,negative,KickAndyMetroTV,0,"anak itu milik berdua, bukan milik salah satu, bantulah istri mengasuh anak, seperti itu #Gusdur #kickandy",anak milik dua milik salah bantu istri asuh anak
261,negative,KickAndyMetroTV,0,"ujian suami adalah saat istri sakit, dan ujian istri adalah saat suami tidak punya apa-apa #kickandy",uji suami istri sakit uji istri suami apaapa
262,negative,KickAndyMetroTV,0,#kickandy Bung Andy cuma mampir dgn gaya remaja sbg idola remaja dan tidak sempat beli,andy mampir gaya remaja idola remaja beli
263,negative,KickAndyMetroTV,0,"Kelemahan Anda hanyalah sementara, karena Anda sedang memperkuatnya, tetapi bila Anda jadi #tekcmi144 #kickandy",lemah kuat
264,negative,KickAndyMetroTV,0,Kekuatan terbesar yang mampu mengalahkan stress adalah kemampuan memilih pikiran yang tepat. kita akan #hermafik95 #kickandy,kuat besar kalah stress mampu pilih pikir
265,negative,KickAndyMetroTV,0,Itu yg saya kesel. Coba kalo sodara km ngantri ke kanker. Coba km rasain. Kok bs gitu fitnah org. #KickAndy #SuaraHatiAhok,kesel coba saudara antri kanker coba rasain fitnah orang
266,negative,KickAndyMetroTV,0,"Klo pulang ke rumah, mati. Ga ada yg urus. Miskin kok. Kita mw taruh dia di apartemen #KickAndy #SuaraHatiAhok",pulang rumah mati urus miskin taruh apartemen
267,negative,KickAndyMetroTV,0,Kalo dia berantem tdk ada telor busuk diketeknya #kickandy #pilkadadki,antem telor busuk ketek
268,negative,KickAndyMetroTV,4,Pak @basuki_btp mukanya sedih banget pas kakak2 angkatnya ngomong. #kickAndy,muka sedih banget pas kakak angkat ngomong
269,negative,KickAndyMetroTV,0,Andy terlihat kaku dan jaga sikap saat mengundang Ahok menjadi tamu. Mungkin agar terlihat lebih formal #kickandy,andy kaku jaga sikap undang ahok tamu formal
270,negative,KickAndyMetroTV,0,Makin stress makin ngantuk #ahok #kickandy,stress ngantuk
271,negative,KickAndyMetroTV,0,"Jangan melihat orang dari cover nya aja, tapi lihat lah dia dari sisi lain nya. Fisik bisa saja sm namun isinya berbeda. #KickAndy",orang cover nya lihat sisi nya fisik isi beda
272,negative,KickAndyMetroTV,0,kayak gajah yg dibilang psikolog di @Metro_TV #KickAndyMetroTv,gajah bilang psikolog
273,negative,KickAndyMetroTV,0,Jangan di bakarin dong pak andy @KickAndyShow #kickandymetrot,bakarin andy
274,negative,KickAndyMetroTV,0,bikin sakit perut nonton kisah sarjana tertua di indonesia.. #KickAndyMetroTv,bikin sakit perut nonton kisah sarjana tua indonesia
275,negative,KickAndyMetroTV,3,Pekerjaan yg tdk sesuai dengan kualifikasi pendidikannya #KickAndyMetroTV,kerja sesuai kualifikasi didik
276,negative,KickAndyMetroTV,0,"Tp ttp tdk msk surga, jd ibadahnya sia2 hahaah RT @melanjhe: sp bilang orang bertato tdk boleh beribadah?!? #kickandymetrotv",ttp msk surga ibadah sia hahaah rt sp bilang orang tato ibadah
277,negative,KickAndyMetroTV,0,orang bertato tdk boleh beribadah?!? #kickandymetrotv,orang tato ibadah
278,negative,KickAndyMetroTV,0,Apakah kamu bodoh? Tidak!.. Kamu di bodohi oleh suatu sistem Mike-marjinal @kickandymetrotv,bodoh bodoh sistem mikemarjinal
279,negative,KickAndyMetroTV,9,"Gimana soal UN g bs bocor, pertanyaan Malaikat di alam kubur aja udah bocor. #KickAndyMetroTV",un bocor malaikat alam kubur bocor
280,negative,KickAndyMetroTV,0,Masa ada anak lulus dg nilai palingg tinggi dan lulus SNMPTN Undangan bidik misi pdhl dia susah sekali... @SBYudhoyono #kickandymetrotv,anak lulus nilai palingg lulus snmptn undang bidik misi susah
281,negative,KickAndyMetroTV,0,"Orang Belanda aja peduli sama orang2 indonesia yg berada d daerah terisolir, gimana dg pemerintah indonesia? Zhonk kickandyMetroTV",orang belanda peduli orang indonesia d daerah isolir perintah indonesia zhonk kickandymetrotv
282,negative,KickAndyMetroTV,0,Merinding deh nonton #KickAndyMetroTV,merinding deh nonton
283,negative,KickAndyMetroTV,0,Indonesia2. Bahkan kita dididik untuk menjadi rusak.. #kickandymetrotv,indonesia didik rusak
284,negative,KickAndyMetroTV,0,Parahnya kualitas pendidikan di Indonesia  #kickandymetrotv,parah kualitas didik indonesia
285,negative,KickAndyMetroTV,0,demi apapun ya kick andy sekarang botak?  #kickandymetrotv,apa ya kick andy botak
286,negative,KickAndyMetroTV,3,jadi merasa malu krn kalah dari org yg tdk sempurna tapi mempunyai yg lebih dari org sempurna #kickandymetrotv,malu kalah orang sempurna orang sempurna
287,negative,KickAndyMetroTV,0,Hukum di Indonesia masih jauh dari kata ADIL #KickAndyMetroTV,hukum indonesia adil
288,negative,KickAndyMetroTV,0,"aku kira makin tua makin keladi, malah jd macan ompong. Melempem. kecewa liat amin rais di @kickandymetrotv",tua keladi macan ompong melempem kecewa lihat amin rais
289,negative,KickAndyMetroTV,0,"#kickAndyMetroTV MEDIA harus mengisi lebih banyak ttg kisah sukses di TV, bukan gosip, berita rusuh & acara2 GG JELAS, tai kucing!! #CATET",media isi ttg kisah sukses televisi gosip berita rusuh acara tai kucing
290,negative,KickAndyMetroTV,5,"#kickAndyMetroTV jika ingin dihargai orang, hargailah orang lain juga",harga orang harga orang
291,negative,KickAndyMetroTV,0,Dibawah sana banyak yg lebih sulit jangan banyak mengeluh #kickandymetrotv,bawah sulit keluh
292,negative,KickAndyMetroTV,0,"Hidup adalah  perjuangan yang melelahkan, capek #kickandy",hidup juang lelah capek
293,negative,KickAndyMetroTV,0,Orang-orang yang berhenti belajar akan menjadi bodoh  #kickandy http://untub6158.m.humandesignindonesia.com/untub6158/rahasia-dalam-memikat-,orangorang henti ajar bodoh
294,negative,KickAndyMetroTV,0,"Ambillah waktu untuk berfikir, jangan jadi perusak #kickandy http://koepb3112.m.networknumberone.com/koepb3112/tak-ada-yang-berubah-meski-sa",ambil berfikir usak
295,negative,KickAndyMetroTV,0,miris ketika melihat banyak perusak di indonesia #kickandy,miris usak indonesia
296,negative,KickAndyMetroTV,0,sistem Mike-marjinal banyak membodohi orang #kickandy,sistem mikemarjinal bodoh orang
297,negative,KickAndyMetroTV,0,stress melihat semua kekacauan yang ada #kickandy,stress kacau
298,negative,KickAndyMetroTV,0,"kesel banget, coba kalian ada di posisi pak ahok #kickandy",kesel banget coba posisi ahok
299,negative,KickAndyMetroTV,0,"coba pulang kerumah, mati. Ga ada yg urus. Miskin kok. Kita akan taruh dia di apartemen #KickAndy #SuaraHatiAhok",coba pulang rumah mati urus miskin taruh apartemen
300,negative,KickAndyMetroTV,0,"tidak ada orang bodoh, yang ada hanya orang malas",orang bodoh orang malas
301,positive,MataNajwaMetroTV,15,"Setuju. Al misbah, mata najwa dan kick andy program favorit",tuju al misbah mata najwa kick andy program favorit
302,positive,MataNajwaMetroTV,0,Metro_TV Mata Najwa: Pancasila Punya Kita http://metrotvn.ws/zNAj3qeb,metro tv mata najwa pancasila
303,positive,MataNajwaMetroTV,2,"Selera gue ini gatau akhir2 ini suka banget nonton metro tv kalo ga kick andy mata najwa, selera menua",selera tau suka banget nonton metro televisi kick andy mata najwa selera tua
304,positive,MataNajwaMetroTV,3,Mantap Mata Najwa. Pasti seru nih,mantap mata najwa seru nih
305,positive,MataNajwaMetroTV,0,Sahabat2.. yuk nonton Mata Najwa di Metro TV bersama Ketua Umum DPP PKB,sahabat yuk nonton mata najwa metro televisi ketua dpp pkb
306,positive,MataNajwaMetroTV,5,Suarakan terus kebenaran Mata Najwa,suara benar mata najwa
307,positive,MataNajwaMetroTV,5,"Selamat @NajwaShihab dan keluarga besar @Metro_TV Prestasi yg luar biasa, Dialog keren, rugi klo terlewatkan nonton mata najwa",selamat keluarga prestasi dialog keren rugi lewat nonton mata najwa
308,positive,MataNajwaMetroTV,7,@TV_MATANAJWA Semoga acara Mata Najwa Metro TV jadi acara favorit dan semakin jaya berkualitas di masa mendatang,moga acara mata najwa metro televisi acara favorit jaya kualitas
309,positive,MataNajwaMetroTV,5,Pasti menang cuma mata najwa yang paling ok RT @Metro_TV: Dukung Mata Najwa menjadi Program TV terbaik http://tl.gd/nnoc2f,menang mata najwa ok rt dukung mata najwa program televisi baik
310,positive,MataNajwaMetroTV,2,"Mata Najwa MetroTV, Inspiratif",mata najwa metrotv inspiratif
311,positive,MataNajwaMetroTV,5,KENAPA HARI INI TERASA TENTRAM DAN BAHAGIA NONTON MATA NAJWA @Metro_TV,tentram bahagia nonton mata najwa
312,positive,MataNajwaMetroTV,4,Mata Najwa paling keren acaranya matanya setajam silet,mata najwa keren acara mata tajam silet
313,positive,MataNajwaMetroTV,7,Mata Najwa malam ini kayaknya bakal seru banget,mata najwa malam kayak seru banget
314,positive,MataNajwaMetroTV,2,Mata Najwa memang paling keren Mantap,mata najwa keren mantap
315,positive,MataNajwaMetroTV,15,"Keren! Tampil di Kandang Lawan, Pak Anies Baswedan Tampak Gemilang di Mata Najwa Metro TV",keren tampil kandang lawan anies baswedan gemilang mata najwa metro televisi
316,positive,MataNajwaMetroTV,3,memang cukup romantis dan memuaskan pemirsa krn adanya mata najwa semakin sukses,romantis muas pirsa mata najwa sukses
317,positive,MataNajwaMetroTV,2,Menarik sekali mengikuti diskusi Ahok - Anis di Mata Najwa http://fb.me/5KYy9nAdC,tarik ikut diskusi ahok anis mata najwa
318,positive,MataNajwaMetroTV,9,ahok merasa pinter dan merasa hebat di debat acara mata najwa metro tv.,ahok pintar hebat debat acara mata najwa metro televisi
319,positive,MataNajwaMetroTV,5,Mata Najwa dan Metro Tv berpihak pada paslon 3 Untung Ahok cerdas. Semangat pak! Allah bersamamu,mata najwa metro televisi pihak paslon untung ahok cerdas semangat allah sama
320,positive,MataNajwaMetroTV,12,"Sudah terbukti di mata Najwa, kalau Ahok lebih hebat dari Anis Insaallah Ahok Jarot menang..",bukti mata najwa ahok hebat anis insyaallah ahok jarot menang
321,positive,MataNajwaMetroTV,6,"sip, keren. debat ala mata najwa lebih keren daripada ala kpud yg sdh diatur utk lbh jaim",sip keren debat ala mata najwa keren ala kpud atur jaim
322,positive,MataNajwaMetroTV,19,semoga bapak jokowi melihat acara mata najwa supaya masalah masalah yg dipelosok dapat diatasi,moga jokowi acara mata najwa pelosok atas
323,positive,MataNajwaMetroTV,1,keren deh. Mata Najwa juga.,keren deh mata najwa
324,positive,MataNajwaMetroTV,2,metro tv keren inspiratif dgn mata najwa nya kick andy,metro televisi keren inspiratif mata najwa nya kick andy
325,positive,MataNajwaMetroTV,5,metro tv emang tv paling keren ya edukatif dan menginspirasi seperti mata najwa dan kick andy,metro televisi emang televisi keren ya edukatif inspirasi mata najwa kick andy
326,positive,MataNajwaMetroTV,2,Pemimpin itu harus Cerdas santun Tegas jujur bersih saya pilih AniesSandiPemersatu #MataNajwaMetroTv,pimpin cerdas santun jujur bersih pilih aniessandipemersatu
327,positive,MataNajwaMetroTV,6,"Liat pemimpin2 yg islami, cerdas, teladan #matanajwametrotv",lihat pimpin islami cerdas teladan
328,positive,MataNajwaMetroTV,7,rame banget malam ini #MataNajwaMetroTV selalu menunggu topik lain yang seru dan nambah wawasan.,ramai banget malam tunggu topik seru tambah wawas
329,positive,MataNajwaMetroTV,2,Kado indah malam ini. @najwashihab  matanajwametrotv https://instagram.com/p/3OoWqCwgYj/,kado indah malam matanajwametrotv
330,positive,MataNajwaMetroTV,9,"Tjokro dan rumahnya menjadi teladan, tentang senioritas yang menghidupkan dan bukan mengkerdilkan. #MataNajwaMetroTv",tjokro rumah teladan senioritas hidup kerdil
331,positive,MataNajwaMetroTV,12,"Semangat bp bambang woidjojayanto,, @matanajwaMetroTv,, #saveKPK",semangat bp bambang woidjojayanto
332,positive,MataNajwaMetroTV,7,belajar dari gusdur matanajwametrotv,ajar gusdur matanajwametrotv
333,positive,MataNajwaMetroTV,15,"mata najwa, ibu susi bpk dahlan dan bpk faisal basri inspiratif #matanajwametrotv",mata najwa sus dahlan faisal basri inspiratif
334,positive,MataNajwaMetroTV,5,metro tv keren malam ini yang lg malam mingguan rugi klo ga nonton mata najwa @matanajwametrotv,metro televisi keren malam malam minggu rugi nonton mata najwa
335,positive,MataNajwaMetroTV,4,Kemerdekaan adalah hak segala bangsa #TanyaJokowi #MataNajwaMetroTV,merdeka hak bangsa
336,positive,MataNajwaMetroTV,7,Seru nih mata najwa malam ini #MATANAJWAMETROTV,seru nih mata najwa malam
337,positive,MataNajwaMetroTV,5,Salut buat Ahok. #matanajwametrotv #hutjekardah,salut ahok
338,positive,MataNajwaMetroTV,2,Super Salut dengan Pak Ahok #matanajwametrotv,super salut ahok
339,positive,MataNajwaMetroTV,11,"Matanajwametrotv berwibawa tak byk kata_berkuasa tetap sederhana, kagum",matanajwametrotv wibawa kata kuasa sederhana kagum
340,positive,MataNajwaMetroTV,18,Salut dan bangga sm pak BJ. Habibie utk yg kesekian kalinya #MataNajwaMetroTV,salut bangga bj habibie sekian kali
341,positive,MataNajwaMetroTV,3,"obrolan santai menarik abraham slamet, jk, jokowi, anis baswedan, ganjar #matanajwametrotv",obrol santai tarik abraham slamet jokowi anis baswedan ganjar
342,positive,MataNajwaMetroTV,1,"Anis baswedan , jokowi , ganjar pranowo , JK , abraham samad inspirasi indonesia  Keren !!! #matanajwametrotv",anis baswedan jokowi ganjar pranowo abraham samad inspirasi indonesia keren
343,positive,MataNajwaMetroTV,7,para pemimpin yg luar biasa #MataNajwaMetroTv,pimpin
344,positive,MataNajwaMetroTV,16,"Kerendahan, kesederhanaan pak jokowi ini patut di tiru #matanajwametrotv",rendah sederhana jokowi patut tiru
345,positive,MataNajwaMetroTV,4,Seru nih Dahlan Iskan dan ketua DPR #matanajwametroTV,seru nih dahlan iskan ketua dpr
346,positive,MataNajwaMetroTV,17,Desa Bebas Rokok yg sangat menginspirasi dan ternyata ada. Luar biasa #MataNajwaMetroTV,desa bebas rokok inspirasi
347,positive,MataNajwaMetroTV,12,Selalu dan masih terinspirasi dengan cinta BJH dan HAB #matanajwaMetroTV http://myloc.me/8DDtO,inspirasi cinta bjh hab
348,positive,MataNajwaMetroTV,5,Selalu memberikan banyak inspirasi #matanajwaMetroTV,inspirasi
